id,user_id,description,bill_no,amount_due,balance,status,billing_month,due_date,paid_date,remarks,created_at,updated_at
15,15,,BILL6922E819D346E,441.00,0.00,Paid,2025-11,2025-11-28,"2025-11-23 00:00:00","Payment successful","2025-11-23 18:55:21","2025-11-23 18:55:21"
16,16,,BILL6922E819F2F2C,373.00,0.00,Pending,2025-11,2025-11-28,,"Awaiting payment","2025-11-23 18:55:21","2025-11-23 18:55:21"
17,17,,BILL6922E81A1F651,354.00,0.00,Pending,2025-11,2025-11-28,,"Awaiting payment","2025-11-23 18:55:22","2025-11-23 18:55:22"
18,18,,BILL6922E81A40153,423.00,0.00,Pending,2025-11,2025-11-28,,"Awaiting payment","2025-11-23 18:55:22","2025-11-23 18:55:22"
19,19,,BILL6922E81A5DEB3,366.00,0.00,Paid,2025-11,2025-11-28,"2025-11-23 00:00:00","Payment successful","2025-11-23 18:55:22","2025-11-23 18:55:22"
20,20,,BILL6922E81A7C687,409.00,0.00,Pending,2025-11,2025-11-28,,"Awaiting payment","2025-11-23 18:55:22","2025-11-23 18:55:22"
21,21,,BILL6922E81A9A647,444.00,0.00,Paid,2025-11,2025-11-28,"2025-11-23 00:00:00","Payment successful","2025-11-23 18:55:22","2025-11-23 18:55:22"
22,22,,BILL6922E81AB8E87,420.00,0.00,Paid,2025-11,2025-11-28,"2025-11-23 00:00:00","Payment successful","2025-11-23 18:55:22","2025-11-23 18:55:22"
23,23,,BILL6922E81AD87DC,461.00,0.00,Pending,2025-11,2025-11-28,,"Awaiting payment","2025-11-23 18:55:22","2025-11-23 18:55:22"
24,24,,BILL6922E81B04BBE,365.00,0.00,Pending,2025-11,2025-11-28,,"Awaiting payment","2025-11-23 18:55:23","2025-11-23 18:55:23"
25,25,,BILL6922E81B222A5,395.00,0.00,Pending,2025-11,2025-11-28,,"Awaiting payment","2025-11-23 18:55:23","2025-11-23 18:55:23"
26,26,,BILL6922E81B4580D,437.00,0.00,Pending,2025-11,2025-11-28,,"Awaiting payment","2025-11-23 18:55:23","2025-11-23 18:55:23"
27,27,,BILL6922E81B68DEE,461.00,0.00,Pending,2025-11,2025-11-28,,"Awaiting payment","2025-11-23 18:55:23","2025-11-23 18:55:23"
28,28,,BILL6922E81B87A3D,417.00,0.00,Paid,2025-11,2025-11-28,"2025-11-23 00:00:00","Payment successful","2025-11-23 18:55:23","2025-11-23 18:55:23"
29,29,,BILL6922E81BA9F3B,443.00,0.00,Pending,2025-11,2025-11-28,,"Awaiting payment","2025-11-23 18:55:23","2025-11-23 18:55:23"
30,30,,BILL6922E81BCC8E7,432.00,0.00,Pending,2025-11,2025-11-28,,"Awaiting payment","2025-11-23 18:55:23","2025-11-23 18:55:23"
31,31,,BILL6922E81BEE10B,371.00,0.00,Pending,2025-11,2025-11-28,,"Awaiting payment","2025-11-23 18:55:23","2025-11-23 18:55:23"
32,32,,BILL6922E81C1D6B0,409.00,0.00,Paid,2025-11,2025-11-28,"2025-11-23 00:00:00","Payment successful","2025-11-23 18:55:24","2025-11-23 18:55:24"
33,33,,BILL6922E81C3CBD4,417.00,0.00,Paid,2025-11,2025-11-28,"2025-11-23 00:00:00","Payment successful","2025-11-23 18:55:24","2025-11-23 18:55:24"
34,34,,BILL6922E81C5DDDD,489.00,0.00,Pending,2025-11,2025-11-28,,"Awaiting payment","2025-11-23 18:55:24","2025-11-23 18:55:24"
35,35,,BILL6922E81C7BF46,383.00,0.00,Pending,2025-11,2025-11-28,,"Awaiting payment","2025-11-23 18:55:24","2025-11-23 18:55:24"
36,36,,BILL6922E81C9E5E6,435.00,0.00,Paid,2025-11,2025-11-28,"2025-11-23 00:00:00","Payment successful","2025-11-23 18:55:24","2025-11-23 18:55:24"
37,37,,BILL6922E81CC1D6C,413.00,0.00,Pending,2025-11,2025-11-28,,"Awaiting payment","2025-11-23 18:55:24","2025-11-23 18:55:24"
38,38,,BILL6922E81CE72F3,419.00,0.00,Pending,2025-11,2025-11-28,,"Awaiting payment","2025-11-23 18:55:24","2025-11-23 18:55:24"
39,39,,BILL6922E81D17888,484.00,0.00,Pending,2025-11,2025-11-28,,"Awaiting payment","2025-11-23 18:55:25","2025-11-23 18:55:25"
